subject_id,name,slug,method,source_image,generated_image,source_sha256,generated_sha256,original_width,original_height,source_similarity_proxy,white_space_ratio,ink_coverage_ratio,dark_fill_ratio,midtone_ratio,edge_density,small_components_per_megapixel,small_component_ink_ratio,largest_dark_region_ratio,color_pixel_ratio
M01,"Philip I, Landgrave of Hesse",Philip_I_Landgrave_of_Hesse,flux_final,D:\Projects\AIColoringBook\output\evaluation_flux_t4\sources\images\Philip_I_of_Hesse.jpg,D:\Projects\AIColoringBook\output\evaluation_flux_t4\generated_images\Philip_I_Landgrave_of_Hesse.png,8f8081c9618c9d4a87e3be7097e4aaadfa37e65d5743e50dfa20a6b79a649658,00b594ee2520b890f3168d98946577529c409482cd212cb2f074f8649b85844b,496,640,0.581414,0.801144,0.177433,0.043209,0.134224,0.119133,217.437744,0.014812,0.02076,0.008698
M01,"Philip I, Landgrave of Hesse",Philip_I_Landgrave_of_Hesse,sd15_controlnet,D:\Projects\AIColoringBook\output\evaluation_flux_t4\sources\images\Philip_I_of_Hesse.jpg,D:\Projects\AIColoringBook\evaluation\baseline_run\generated_images\Philip_I_Landgrave_of_Hesse.png,8f8081c9618c9d4a87e3be7097e4aaadfa37e65d5743e50dfa20a6b79a649658,868335793567f1fca43b7e48353471ac31b1443847739d70ddd1067c8a7b44fc,512,640,0.48172,0.695927,0.266319,0.075241,0.191078,0.169369,530.24292,0.026887,0.033367,0.028786
M02,Robert Bunsen,Robert_Bunsen,flux_final,D:\Projects\AIColoringBook\output\evaluation_flux_t4\sources\images\Robert_Bunsen.jpg,D:\Projects\AIColoringBook\output\evaluation_flux_t4\generated_images\Robert_Bunsen.png,b6da9af65475d801c917d12c025f237ee89211ae3625edfdd1505b50ca1da284,b289b317482b94fdb6a75fd154d98abc8df442ed21fbd738412260bf9cca42f6,624,640,0.482311,0.90556,0.086029,0.033409,0.05262,0.061253,160.217285,0.025803,0.015484,0.00071
M02,Robert Bunsen,Robert_Bunsen,sd15_controlnet,D:\Projects\AIColoringBook\output\evaluation_flux_t4\sources\images\Robert_Bunsen.jpg,D:\Projects\AIColoringBook\evaluation\baseline_run\generated_images\Robert_Bunsen.png,b6da9af65475d801c917d12c025f237ee89211ae3625edfdd1505b50ca1da284,a867b4981ed48101a5e61a4b943f0b1a45e68cbfd35dbcf9f1ca07b534f29e47,512,512,0.339912,0.817295,0.157036,0.052574,0.104462,0.120922,175.476074,0.017976,0.00745,0.085991
M03,Emil von Behring,Emil_von_Behring,flux_final,D:\Projects\AIColoringBook\output\evaluation_flux_t4\sources\images\Emil_von_Behring.jpg,D:\Projects\AIColoringBook\output\evaluation_flux_t4\generated_images\Emil_von_Behring.png,7ea0da3f6a6a966f19369a3f4ce01d8c2249f0ae2399bebdfe5009aedaf9b36c,d0b24c381c53d3b3e85a227e2207c3faa8a5274a8b5f00524c389308dbfc5fa6,432,640,0.506314,0.906067,0.084393,0.033741,0.050652,0.059074,141.143799,0.017087,0.023952,0.000858
M03,Emil von Behring,Emil_von_Behring,sd15_controlnet,D:\Projects\AIColoringBook\output\evaluation_flux_t4\sources\images\Emil_von_Behring.jpg,D:\Projects\AIColoringBook\evaluation\baseline_run\generated_images\Emil_von_Behring.png,7ea0da3f6a6a966f19369a3f4ce01d8c2249f0ae2399bebdfe5009aedaf9b36c,376ef072ab4a6d665a6f17f33ffec1cab138194c935ca1d3693926c3c16cc511,512,768,0.285693,0.905415,0.085884,0.033028,0.052856,0.064537,91.552734,0.019295,0.00655,0.011009
M04,Jacob Grimm,Jacob_Grimm,flux_final,D:\Projects\AIColoringBook\output\evaluation_flux_t4\sources\images\Jacob_Grimm.jpg,D:\Projects\AIColoringBook\output\evaluation_flux_t4\generated_images\Jacob_Grimm.png,55d3fa18c37904d90d89439fef6daefba89528fa0086fa7d9a79d466c8f678eb,3d7e69192e077d99ca9668d0eea5870c035c97b9a13dcf01224b8ee0fac54be4,256,288,0.37134,0.87056,0.116608,0.051823,0.064785,0.052605,19.073486,0.002115,0.036419,0.003132
M04,Jacob Grimm,Jacob_Grimm,sd15_controlnet,D:\Projects\AIColoringBook\output\evaluation_flux_t4\sources\images\Jacob_Grimm.jpg,D:\Projects\AIColoringBook\evaluation\baseline_run\generated_images\Jacob_Grimm.png,55d3fa18c37904d90d89439fef6daefba89528fa0086fa7d9a79d466c8f678eb,876fa3b20051fc9fefd48ab0956f437b0ae8ca0cf5229a8c582f73f1249b266d,512,576,0.345238,0.652912,0.313782,0.148014,0.165768,0.120941,202.178955,0.007904,0.072777,0.016262
M05,Hannah Arendt,Hannah_Arendt,flux_final,D:\Projects\AIColoringBook\output\evaluation_flux_t4\sources\images\Hannah_Arendt.jpg,D:\Projects\AIColoringBook\output\evaluation_flux_t4\generated_images\Hannah_Arendt.png,a38ce62689c457e1f2c20eedb89214b1428a98e22118df40745382159ccf45ae,a63c6e93d9f3dd5c043e599cba94d9b02a66e01392ef1e9140dd1f4089a1e601,480,640,0.524161,0.908066,0.084007,0.03513,0.048878,0.055267,45.776367,0.006441,0.023972,0.000744
M05,Hannah Arendt,Hannah_Arendt,sd15_controlnet,D:\Projects\AIColoringBook\output\evaluation_flux_t4\sources\images\Hannah_Arendt.jpg,D:\Projects\AIColoringBook\evaluation\baseline_run\generated_images\Hannah_Arendt.png,a38ce62689c457e1f2c20eedb89214b1428a98e22118df40745382159ccf45ae,3d620b2dfd118aaeb022f829c73a4783fa59a0560daf76c1f505121e91060e5f,512,640,0.392242,0.849724,0.139771,0.071205,0.068565,0.08709,49.591064,0.006183,0.035793,0.02327
