subject_id,name,slug,A_method,B_method,A_source_file,B_source_file,randomization_seed
M01,"Philip I, Landgrave of Hesse",Philip_I_Landgrave_of_Hesse,sd15_controlnet,flux_final,D:\Projects\AIColoringBook\evaluation\baseline_run\generated_images\Philip_I_Landgrave_of_Hesse.png,D:\Projects\AIColoringBook\output\evaluation_flux_t4\generated_images\Philip_I_Landgrave_of_Hesse.png,20260904
M02,Robert Bunsen,Robert_Bunsen,sd15_controlnet,flux_final,D:\Projects\AIColoringBook\evaluation\baseline_run\generated_images\Robert_Bunsen.png,D:\Projects\AIColoringBook\output\evaluation_flux_t4\generated_images\Robert_Bunsen.png,20260904
M03,Emil von Behring,Emil_von_Behring,flux_final,sd15_controlnet,D:\Projects\AIColoringBook\output\evaluation_flux_t4\generated_images\Emil_von_Behring.png,D:\Projects\AIColoringBook\evaluation\baseline_run\generated_images\Emil_von_Behring.png,20260904
M04,Jacob Grimm,Jacob_Grimm,flux_final,sd15_controlnet,D:\Projects\AIColoringBook\output\evaluation_flux_t4\generated_images\Jacob_Grimm.png,D:\Projects\AIColoringBook\evaluation\baseline_run\generated_images\Jacob_Grimm.png,20260904
M05,Hannah Arendt,Hannah_Arendt,sd15_controlnet,flux_final,D:\Projects\AIColoringBook\evaluation\baseline_run\generated_images\Hannah_Arendt.png,D:\Projects\AIColoringBook\output\evaluation_flux_t4\generated_images\Hannah_Arendt.png,20260904
M06,Gertrud von Le Fort,Gertrud_von_Le_Fort,sd15_controlnet,flux_final,D:\Projects\AIColoringBook\evaluation\baseline_run\generated_images\Gertrud_von_Le_Fort.png,D:\Projects\AIColoringBook\output\evaluation_flux_t4\generated_images\Gertrud_von_Le_Fort.png,20260904
M07,Alfred Wegener,Alfred_Wegener,flux_final,sd15_controlnet,D:\Projects\AIColoringBook\output\evaluation_flux_t4\generated_images\Alfred_Wegener.png,D:\Projects\AIColoringBook\evaluation\baseline_run\generated_images\Alfred_Wegener.png,20260904
M08,Boris Pasternak,Boris_Pasternak,sd15_controlnet,flux_final,D:\Projects\AIColoringBook\evaluation\baseline_run\generated_images\Boris_Pasternak.png,D:\Projects\AIColoringBook\output\evaluation_flux_t4\generated_images\Boris_Pasternak.png,20260904
